,0
0,New Jersey
1,Utah
2,Hawaii
3,Maine
4,New Hampshire
5,Alaska
6,Georgia
7,Minnesota
8,Kentucky
9,Texas
10,Alabama
11,Florida
12,Indiana
13,South Dakota
14,Illinois
15,Missouri
16,Kansas
17,Delaware
18,Nebraska
19,Arkansas
20,Oklahoma
21,Connecticut
22,Virginia
23,Rhode Island
24,Colorado
25,Vermont
26,Michigan
27,Arizona
28,Wisconsin
29,Ohio
30,Wyoming
31,North Carolina
32,New Mexico
33,Idaho
34,West Virginia
35,Oregon
36,South Carolina
37,Maryland
38,Massachusetts
39,Pennsylvania
40,Tennessee
41,Montana
42,Mississippi
43,Iowa
44,Louisiana
45,North Dakota
